duties_and_responsibilities,job_title,location,requirements
"
                                    Works under general supervision; this position is tasked with the following for its assigned project:
                                    ,May be assigned as a Project Leader or Sub-Leader,Does schedules for its members and workload estimation (Task level and Project level),
                                ,Performs basic engineering functions,Ensures that activities conform to integrated management system requirements,Performs other activities which may be required as need arises provided he is qualified for these activities",Backend Developers,Makati,"Graduate of any 4 or 5-year course related to software development (e.g. Compute Engineering, Computer Science, Electronics and Communications Engineering),With at least 3 years experience in mobile backend development or Java based web service development (REST) using Java, JavaScript,Experience in developing and creating Web services,Experience in SQL and tools like Eclipse and Jenkins,Nihongo certification (at least JLPT N5 level) is an advantage,Working knowledge of advanced programming,Excellent communications skills"
"
                                    Works under general supervision; this position is tasked with the following for its assigned project:
                                    ,May be assigned as a Project Leader or Sub-Leader,Does schedules for its members and workload estimation (Task level and Project level),
                                ,Performs basic engineering functions,Ensures that activities conform to integrated management system requirements,Performs other activities which may be required as need arises provided he is qualified for these activities",C Developers,Makati,"Graduate of any 4 or 5-year course related to software development (e.g. Compute Engineering, Computer Science, Electronics and Communications Engineering),With at least 2 years experience using C in either actual development or unit testing (C++ experience could also be considered),PhilNITS certification is an advantage,Nihongo certification (at least JLPT N5 level) is an advantage,Working knowledge of advanced programming,Excellent communications skills"
"
                                    Works under general supervision; this position is tasked with the following for its assigned project:
                                    ,May be assigned as a Project Leader or Sub-Leader,Does schedules for its members and workload estimation (Task level and Project level),
                                ,Performs basic engineering functions,Ensures that activities conform to integrated management system requirements,Performs other activities which may be required as need arises provided he is qualified for these activities",C/C++ Developers,"Makati, Cebu","Graduate of any 4 or 5-year course related to software development (e.g. Compute Engineering, Computer Science, Electronics and Communications Engineering),With at least 2-year development experience using C/C++,PhilNITS certification is an advantage,Nihongo certification (at least JLPT N5 level) is an advantage,Working knowledge of advanced programming,Excellent communications skills"
"Develop optimized analytical software to discover patterns, find anomalies, build models and derive insights and business values,Establish scalable, efficient, automated processes for large scale data analysis, model development, model validation and scoring,Work closely with software engineering teams to integrate data analysis with other software systems,Participate in strategic analysis and help define roadmap for the team",Data Analysts,Makati,"Graduate of any 4 or 5-year IT-related courses (Computer Science, Applied Math, or related field),With at least 2 years experience in HOST system development/maintenance,With at least 2 years software development experience,Expertise in developing high-quality, object-oriented code (Java),Excellent communications skills,Willing to learn Nihongo,Open to Contractual engagement"
"
                                    Works under general supervision; this position is tasked with the following for its assigned project:
                                    ,May be assigned as a Project Leader or Sub-Leader,Does schedules for its members and workload estimation (Task level and Project level),
                                ,Performs basic engineering functions,Ensures that activities conform to integrated management system requirements,Performs other activities which may be required as need arises provided he is qualified for these activities",Java Developers,"Makati, Cebu","Graduate of any 4 or 5-year course related to software development (e.g. Computer Engineering, Computer Science, Electronics and Communications Engineering),With at least 2 years experience on J2EE, J2SE, or J2ME development,Nihongo certification (at least JLPT N5 level) is an advantage,PhilNITS certification is an advantage,Working knowledge of advanced programming,Excellent communications skills"
"
                                    Works under general supervision; this position is tasked with the following for its assigned project:
                                    ,May be assigned as a Project Leader or Sub-Leader,Does schedules for its members and workload estimation (Task level and Project level),
                                ,Performs basic engineering functions,Ensures that activities conform to integrated management system requirements,Performs other activities which may be required as need arises provided he is qualified for these activities",Java Web Developers,Makati,"Graduate of any 4 or 5-year course related to software development (e.g. Compute Engineering, Computer Science, Electronics and Communications Engineering),With at least 3 years experience in design, create and test Web application using HTML, Java (JSF, JDBC, JAX,-RS, JMX : for batch application, JUnit), use of spring or struts framework, Websphere (WAS), DB2, Jenkins,Experience in developing applications for the web (Java, HTML5, PHP, JQuery) is an advantage,Experience in SQL, Test creation using JUnit, and using Eclipse IDE is an advantage,Nihongo certification (at least JLPT N5 level) is an advantage,Working knowledge of advanced programming,Excellent communications skills"
"
                            Code, unit testing, integration testing for mainframe
                        ",Mainframe Developers,Eastwood,"Graduate of any 4 or 5-year course related to IT (e.g. Compute Engineering, Computer Science, Electronics and Communications Engineering),With at least 2 years experience in HOST system development/maintenance,Nihongo certification (at least JLPT N3 or N2 level),Knowledge in SQL and DB,Operating system - AIX & Linux,Excellent communication skills,Open to Contractual engagement"
"Work on mobile application architecture using Objective C and Java,Participate in all phases of software development life cycle to convert concepts and specifications into mobile applications and features,Work closely with software engineering teams to integrate mobile application with other software systems,Participate in strategic analysis and help define roadmap for the team",Mobile Developers,"Makati, Cebu","Graduate of any 4 or 5-year course related to software development (e.g. Compute Engineering, Computer Science, Electronics and Communications Engineering),With at least 2 years experience developing with iPhone and/or Android Technologies,Solid experience developing with iPhone and /or Android technologies (Objective C, Cocoa, iOS SDK, and Android SDK),Expertise in developing high-quality, object-oriented code (Java),Experience detecting and correcting memory usage issues and optimizing code for application performance,Excellent communications skills,Open to Contractual engagement"
"
                                    Works under general supervision; this position is tasked with the following for its assigned project:
                                    ,May be assigned as a Project Leader or Sub-Leader,Does schedules for its members and workload estimation (Task level and Project level),
                                ,Performs basic engineering functions,Ensures that activities conform to integrated management system requirements,Performs other activities which may be required as need arises provided he is qualified for these activities",Net Developers,Cebu,"Graduate of any 4 or 5-year IT-related courses (Computer Science, Engineering, or related field),At least 2 years development experience on C# and ASP.net,Solid experience in software development experience,Excellent communications skills,Be adaptable, competent and an excellent team player"
"Designing and planning the network,Setting up the network,Maintaining the network,Expanding the network",Network Administrators,"Alabang, Cebu","Graduate of any 4 or 5-year IT-related courses (Computer Science, Engineering, or related field),Must be knowledgeable in network topology,Must be familiar with Wireless Security,Network certifications such as CompTIA's Network+, Cisco's CCNA, and Microsoft's MCTS: Server 2008 Network Infrastructure is an advantage,Good communication skills,Open to  project-based engagement"
